Date,Close_price,High_price,Low_price,Open_price,Volume,Return,Return_pct
2019-01-02,499.790283203125,504.25164819295793,497.7239553215136,503.1480588449512,8134232,-0.009124370346325739,-0.9124370346325739
2019-01-03,495.868896484375,499.73148713984256,493.8025689909968,498.7805006843661,12771664,-0.007846064340463088,-0.7846064340463088
2019-01-04,497.1955871582031,499.7902343243313,495.5284800629517,496.67901956990454,7287120,0.0026754867732865506,0.26754867732865506
2019-01-07,497.9469299316406,501.39866287311526,497.32470995311866,499.6023423436343,5387012,0.0015111613876783725,0.15111613876783725
2019-01-08,493.8026123046875,498.6161898378525,492.3115543821739,498.26397684762094,8343460,-0.008322809877594928,-0.8322809877594928
2019-01-09,497.0429382324219,498.1113290045613,493.70866702568554,497.32469713380436,8568628,0.006561986200540826,0.6561986200540826
2019-01-10,495.0940856933594,498.6866698458964,491.37234530575137,497.0899594085093,7691540,-0.003920893728000641,-0.39208937280006406
2019-01-11,495.8923950195313,498.73360278703433,494.9766641596367,496.33856587733516,6408040,0.0016124396336787417,0.16124396336787417
2019-01-14,493.485595703125,495.422767141627,492.73421945891204,495.422767141627,4855160,-0.004853470915422098,-0.4853470915422098
2019-01-15,498.2405395507813,499.32068246219035,493.5678695205851,494.28404749491017,5087556,0.009635425813961929,0.9635425813961929
2019-01-16,497.84130859375,498.96840162504026,495.035356576937,497.806110225345,5252452,-0.0008012815604913071,-0.0801281560491307
2019-01-17,500.6824951171875,501.52777186013464,496.23288267155743,499.02708267187825,8240228,0.0057070124041394,0.57070124041394
2019-01-18,500.20111083984375,502.25568646235223,496.5146266167229,501.3164518920626,5207976,-0.0009614561763959806,-0.09614561763959806
2019-01-21,504.4042053222656,508.7129672088491,499.3206207106474,502.478785755401,17561512,0.0084028091728241,0.84028091728241
2019-01-22,501.5161437988281,504.08728738822623,499.91943330417905,503.8994289783255,8796976,-0.005725688828451148,-0.5725688828451148
2019-01-23,494.36614990234375,501.5161197506644,493.43866712295903,501.0817007814959,7624288,-0.014256757204913484,-1.4256757204913484
2019-01-24,493.6264953613281,498.181760341372,492.6050547807434,495.44626243900694,10111572,-0.0014961674482804055,-0.14961674482804055
2019-01-25,492.1589050292969,495.44622595983606,490.7500532019229,491.4544791156099,11262236,-0.00297307852358486,-0.297307852358486
2019-01-28,489.3764343261719,493.57954363735365,487.6388732134737,490.7500878854749,15360436,-0.005653602270915714,-0.5653602270915714
2019-01-29,483.142333984375,489.106451168911,482.0621911904821,487.9911100056597,14762788,-0.012738865021934886,-1.2738865021934886
2019-01-30,477.7651672363281,483.0601139646413,476.1919606855232,483.0601139646413,18514160,-0.01112957066647935,-1.112957066647935
2019-01-31,488.3902282714844,490.6913644510078,474.78307879886967,476.89635659767765,16579404,0.02223908682296316,2.223908682296316
2019-02-01,490.855712890625,497.08989378431465,487.6036476034212,488.39022215622003,15654188,0.005048185808030015,0.5048185808030015
2019-02-04,494.2486877441406,496.150660675368,489.02419545827837,491.9241051182659,7938288,0.006912367044756618,0.6912367044756618
2019-02-05,496.397216796875,497.55950809946796,492.3937180200964,494.97661305978215,8690288,0.004347060712575068,0.4347060712575068
2019-02-06,498.4165344238281,499.4379749335605,496.2915621028741,496.9137820654196,10875684,0.0040679471169948744,0.40679471169948744
2019-02-07,497.1485900878906,500.1424002301131,494.4717945383169,498.9801089342805,7217308,-0.0025439451710871364,-0.25439451710871364
2019-02-08,498.4165344238281,503.6527785364931,494.65959620147885,495.91584535010804,12235644,0.0025504333336505702,0.255043333365057
2019-02-11,502.4083251953125,503.1714533384242,496.2211514154218,496.2211514154218,7036364,0.008008945321404504,0.8008945321404504
2019-02-12,500.0719604492188,504.3689701236385,498.92142101773663,502.020883670549,9772388,-0.004650330476083209,-0.46503304760832087
2019-02-14,495.49322509765625,502.4905346624277,494.41313965259303,502.4905346624277,7441388,-0.009156152941367512,-0.9156152941367512
2019-02-15,493.2507934570313,495.00016385197443,487.9793504544424,494.8240573552755,8416524,-0.004525655502520709,-0.4525655502520709
2019-02-18,490.7265930175781,497.3247392593423,489.81086217893676,494.6948937464669,7138744,-0.0051174787206359484,-0.5117478720635948
2019-02-19,489.35296630859375,495.01182023684044,487.9793128097775,490.6796122175164,5268636,-0.002799169086267872,-0.2799169086267872
2019-02-20,495.0588684082031,495.6810884356774,488.8481334002276,490.39789350919574,4892500,0.01166009504887966,1.166009504887966
2019-02-21,496.8316650390625,497.78265166207717,491.5954773155014,493.49739323519253,5261544,0.0035809814629916836,0.35809814629916836
2019-02-22,491.0905456542969,499.69631717908845,490.53877971576736,497.6534360377441,8890708,-0.011555461917497234,-1.1555461917497234
2019-02-25,499.062255859375,500.13064662665147,491.9592945657857,491.9592945657857,8140596,0.016232668854288645,1.6232668854288645
2019-02-26,495.598876953125,498.96840416590805,493.3565001037048,495.7397850801287,9607428,-0.006939773275953631,-0.6939773275953631
2019-02-27,491.2784118652344,498.8392391439328,490.3156734424575,496.87862125674746,7030092,-0.008717665210325465,-0.8717665210325465
2019-02-28,487.8267211914063,494.4718174369422,486.8052806356382,491.47800715607855,11645376,-0.0070259359875453065,-0.7025935987545306
2019-03-01,489.1886596679688,493.3095059156402,487.69760170093946,489.8695818722123,9352928,0.002791848862309765,0.2791848862309765
2019-03-05,494.7653198242188,495.70455440614404,486.05389614633003,490.49175661539516,11837276,0.011399814869042846,1.1399814869042846
2019-03-06,494.0960998535156,495.51670364579314,490.8792328262104,495.4462495857992,8458044,-0.0013526008066631068,-0.13526008066631068
2019-03-07,499.3205871582031,500.1424174215719,491.9241147878841,495.3523439598972,10204852,0.010573828261822849,1.0573828261822849
2019-03-08,499.7197570800781,500.1424241150189,495.31709489596705,496.6320462654871,7053460,0.0007994261245001244,0.07994261245001244
2019-03-11,499.7784729003906,503.35930490799063,498.3109187989152,500.6120550952951,9224108,0.00011749749630785011,0.011749749630785011
2019-03-12,509.7695617675781,510.7087963355516,501.786067939804,504.1341543597376,15097292,0.019991034846310374,1.9991034846310374
2019-03-13,522.8132934570312,524.5626067097525,510.02797191632516,510.7088941780267,57166348,0.025587505939399735,2.5587505939399735
2019-03-14,522.390625,527.7325226149005,519.0681050184108,527.1103025265578,15379864,-0.0008084500955138907,-0.08084500955138907
2019-03-15,529.02392578125,530.6440826500462,523.1654610156061,523.8581351167194,12763088,0.012697970568001704,1.2697970568001704
2019-03-18,531.008056640625,538.0992670271777,527.6150828158658,531.1137090771234,14358720,0.0037505503299211096,0.37505503299211096
2019-03-19,532.4873657226562,534.401033468184,528.5543204681729,532.8982808984978,11957992,0.002785850541308088,0.2785850541308088
2019-03-20,539.8251342773438,540.0599429481907,530.9141566839658,532.7808741519325,11711992,0.01378017400418341,1.378017400418341
2019-03-22,534.459716796875,541.7035870004752,533.2035248422408,540.0599263550467,30403880,-0.009939176855207621,-0.9939176855207621
2019-03-25,535.6690063476562,537.2070145325475,529.0239098189734,530.6675704353661,9199260,0.0022626392837028497,0.22626392837028497
2019-03-26,542.7249755859375,543.5820041954984,533.6261407424923,534.4009633971294,11786848,0.013172255916747755,1.3172255916747755
2019-03-27,539.9307861328125,546.6463370423439,535.1407121832228,544.415654671698,13885300,-0.005148444569200716,-0.5148444569200716
2019-03-28,540.7174682617188,545.9302097671302,537.2070897760112,539.778233492227,19554328,0.0014570055072071764,0.14570055072071764
2019-04-01,542.8306884765625,547.5738120902938,541.1400775374341,545.988853586173,9647076,0.003908178187098876,0.39081781870988763
2019-04-02,538.8507080078125,544.7561232234284,536.6434720782605,544.7561232234284,10910496,-0.007331900265107882,-0.7331900265107882
2019-04-03,538.3574829101562,543.8167835219373,537.3008440820696,538.2048802321849,7659452,-0.0009153279198236275,-0.09153279198236275
2019-04-04,536.2911987304688,543.1124014022787,535.3637160385626,538.3575262927257,9211552,-0.003838126607840442,-0.3838126607840442
2019-04-05,541.3748779296875,543.2885456082115,535.8333705361161,537.1952722507735,8351180,0.009479326178115643,0.9479326178115643
2019-04-08,537.5709838867188,545.4488267832432,535.3873089635672,544.5213439369325,6398132,-0.007026358625127793,-0.7026358625127793
